model,projection,sequence,cp,m,n,k,p50_ms,p95_ms,pflops_per_gpu,algorithm,run_id
kimi_k3,mla_input_packed,262144,8,32768,14400,7168,4.6824798583984375,4.722865557670593,1.444656185560979,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,524288,4,131072,14400,7168,18.70148754119873,18.793324565887453,1.4468524979733037,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,524288,8,65536,14400,7168,9.3088960647583,9.36379828453064,1.4533567555468538,66,20260908-140154-d4d2b3
kimi_k3,kda_f_b,65536,4,16384,12288,128,0.08892799913883209,0.09017120115458965,0.5795655817189556,66,20260908-111451-443957
kimi_k3,kda_f_b,65536,8,8192,12288,128,0.04795200005173683,0.049457600340247154,0.5374083197404946,66,20260908-111451-443957
kimi_k3,kda_f_b,131072,4,32768,12288,128,0.1695839986205101,0.170883197337389,0.6078357388816354,66,20260908-111451-443957
kimi_k3,kda_f_b,131072,8,16384,12288,128,0.08892799913883209,0.09017120115458965,0.5795655817189556,66,20260908-111451-443957
kimi_k3,kda_f_b,262144,4,65536,12288,128,0.33883199095726013,0.3398816019296646,0.6084385055424255,66,20260908-111451-443957
kimi_k3,kda_f_b,262144,8,32768,12288,128,0.1695839986205101,0.170883197337389,0.6078357388816354,66,20260908-111451-443957
kimi_k3,kda_f_b,524288,4,131072,12288,128,0.6520319879055023,0.6565359950065612,0.6323567985375531,66,20260908-111451-443957
kimi_k3,kda_f_b,524288,8,65536,12288,128,0.33883199095726013,0.3398816019296646,0.6084385055424255,66,20260908-111451-443957
kimi_k3,kda_o,65536,4,16384,7168,12288,1.998687982559204,2.011363160610199,1.4440563249979446,66,20260908-135227-2a9f00
kimi_k3,kda_o,65536,8,8192,7168,12288,1.0601280331611633,1.0715903878211974,1.361259174661043,66,20260908-135227-2a9f00
kimi_k3,kda_o,131072,4,32768,7168,12288,3.875663995742798,3.913755178451538,1.4894056998141998,66,20260908-135227-2a9f00
kimi_k3,kda_o,131072,8,16384,7168,12288,1.998687982559204,2.011363160610199,1.4440563249979446,66,20260908-135227-2a9f00
kimi_k3,kda_o,262144,4,65536,7168,12288,7.764304161071777,7.791431879997253,1.486916515910211,66,20260908-135227-2a9f00
kimi_k3,kda_o,262144,8,32768,7168,12288,3.875663995742798,3.913755178451538,1.4894056998141998,66,20260908-135227-2a9f00
kimi_k3,kda_o,524288,4,131072,7168,12288,15.646719932556152,15.746776390075684,1.4756923037430443,66,20260908-135227-2a9f00
kimi_k3,kda_o,524288,8,65536,7168,12288,7.764304161071777,7.791431879997253,1.486916515910211,66,20260908-135227-2a9f00
kimi_k3,mla_q_b,65536,4,16384,18432,1536,0.6743199825286865,0.6905887991189956,1.3757755367964848,66,20260908-111451-443957
kimi_k3,mla_q_b,65536,8,8192,18432,1536,0.35337598621845245,0.35767200142145156,1.3126428678185562,66,20260908-111451-443957
kimi_k3,mla_q_b,131072,4,32768,18432,1536,1.3874399662017822,1.3948607921600342,1.3373017334590434,66,20260908-111451-443957
