operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
qkv_backward,Kimi K3 QKV-only,524288,4,131072,,,7168,36864,71.29033660889999,1.9432993542981907,2.4916774972195967,0.7799160832277339,1.9118314754818277,1.6459546366884847,32,along_n,8,32,along_m,8,32,,,20260914-091322-802390
qkv_backward,Kimi K3 QKV-only,131072,8,16384,,,7168,36864,9.132568120957501,1.896214504847994,2.6631622335134684,0.7120161441859844,1.8780032293294007,0.9697148138076539,32,along_n,8,32,along_m,8,32,,,20260914-091422-2ee74f
qkv_backward,Kimi K3 QKV-only,262144,8,32768,,,7168,36864,17.924799919149997,1.9322177335961244,2.57665983459824,0.7498924412338662,1.914326174645785,0.9346139225020034,32,along_n,8,32,along_m,8,32,,,20260914-091450-7de9ec
qkv_backward,Kimi K3 QKV-only,524288,8,65536,,,7168,36864,35.822984695425,1.9336532993783309,2.535175642493366,0.7627295193939964,1.9034543839737343,1.5865321312062086,32,along_n,8,32,along_m,8,32,,,20260914-091523-34845c
qkv_backward,BLOOM 176B,131072,4,32768,,,14336,43008,35.779639244100004,2.2586618073535245,2.5593152427681893,0.8825258294130761,2.2306197730839337,1.2571409349080298,20,along_n,8,32,along_m,8,32,,,20260914-091607-54764d
qkv_backward,BLOOM 176B,262144,4,65536,,,14336,43008,71.70776939392499,2.253984619088779,2.4877331989708362,0.906039530292574,2.2405276945626085,0.6006140677853766,20,along_n,8,32,along_m,8,32,,,20260914-091645-5f6364
qkv_backward,BLOOM 176B,524288,4,131072,,,14336,43008,144.13475036600002,2.2427375615200495,2.402232778798097,0.9336054279644593,2.2284468372674398,0.6412862992115853,20,along_n,8,32,along_m,8,32,,,20260914-091749-232dc4
qkv_backward,BLOOM 176B,131072,8,16384,,,14336,43008,18.227976322175,2.216760193593808,2.6279751424849507,0.8435240340582872,2.196126216665011,0.9395624337171116,20,along_n,8,32,along_m,8,32,,,20260914-091934-9a459a
qkv_backward,BLOOM 176B,262144,8,32768,,,14336,43008,35.872488021875,2.252815711925408,2.5593152427681893,0.8802415873898881,2.225380048760638,1.2328529313475833,20,along_n,8,32,along_m,8,32,,,20260914-092007-89ba4a
qkv_backward,BLOOM 176B,524288,8,65536,,,14336,43008,71.7142162323,2.2537819943470963,2.4877331989708362,0.905958080745747,2.2346504510258915,0.8561313610556676,20,along_n,8,32,along_m,8,32,,,20260914-092051-201f75
oproj_backward,qwen3_235b,131072,4,32768,,,4096,8192,2.1095439791675004,2.0848328143600128,2.576308099561938,0.8092327213171853,2.0451388680928773,1.9408924687911666,16,along_n,8,32,along_m,8,32,,,20260914-092304-5ed8ad
oproj_backward,qwen3_235b,262144,4,65536,,,4096,8192,4.2115359306325,2.0885712877883433,2.6621461210609283,0.7845441958520286,2.030458630986903,2.8620458410026695,16,along_n,8,32,along_m,8,32,,,20260914-092320-0485af
