model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,precision,accumulator,output,quantization_in_timing,requested_comm_ctas,comm_ctas,tile_m,tile_n,tile_k,cluster_m,qkv_policy_model,launch,graph_epoch_mode,warmup,iterations,process_model,timing,correctness,fp8_graph_p50_ms,fp8_graph_p95_ms,fp8_graph_tflops_per_gpu,bf16_graph_p50_ms,fp8_speedup_over_bf16_graph,reaches_1_5x
llama3_8b,model,Llama 3/3.1 8B,4096,4,1024,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.06095999852,0.06212960184,845.4660236760124,0.1066080034,1.7488189958702773,True
llama3_8b,model,Llama 3/3.1 8B,4096,8,512,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.05443200096,0.0552496016,473.4311309800506,0.08316799998,1.5279247228320156,True
llama3_8b,model,Llama 3/3.1 8B,16384,4,4096,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.1764959991,0.1782464087,1168.0629094101657,0.316080004,1.7908621476508022,True
llama3_8b,model,Llama 3/3.1 8B,16384,8,2048,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.1308799982,0.1324319988,787.5857008072607,0.2320799977,1.7732273906770273,True
llama3_8b,model,Llama 3/3.1 8B,131072,4,32768,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.314048052,1.350291252,1255.104361787829,2.360111952,1.796062136698788,True
llama3_8b,model,Llama 3/3.1 8B,131072,8,16384,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.736191988,0.7459071875,1120.1340605081402,1.336096048,1.8148744753793762,True
llama3_8b,model,Llama 3/3.1 8B,262144,4,65536,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,2.672207832,2.726327896,1234.3856057255955,4.821311951,1.8042428785905904,True
llama3_8b,model,Llama 3/3.1 8B,262144,8,32768,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.411072016,1.428404808,1168.8045847151147,2.57622385,1.825721026842332,True
llama3_8b,model,Llama 3/3.1 8B,524288,4,131072,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,5.465295792,5.503471851,1207.083754974922,9.60115242,1.7567489090076316,True
llama3_8b,model,Llama 3/3.1 8B,524288,8,65536,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,2.753232002,2.792476892,1198.0591831461647,5.129903793,1.8632297566182368,True
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,4,256,8192,3072,48,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02831999958,0.02901279926,454.9753559000582,0.04316800088,1.5242938389902334,True
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,8,128,8192,3072,48,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02987200022,0.03062400036,215.66854902761514,0.04497599974,1.5056239759226944,True
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,4096,4,1024,8192,3072,48,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,128,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.05519999936,0.05582080036,933.6885534340702,0.113632001,2.058550766620878,True
