model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,comm_ctas,tile_m,tile_n,tile_k,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,fused_throughput_as_best_pure_percent,cublas_p50_ms,cublaslt_p50_ms,cutlass_p50_ms,compute_subgrid_p50_ms,qkv_route_p50_ms,sequential_p50_ms,overlap_ratio
llama3_8b,model,Llama 3/3.1 8B,262144,4,65536,6144,4096,32,8,128,,True,32,128,256,64,5.512320042,5.567255974,598.3932097910653,76.59990901885301,4.35447979,4.222432137,4.621984005,5.687151909,1.827376008,5.79668808,0.4953810553
llama3_8b,model,Llama 3/3.1 8B,262144,8,32768,6144,4096,32,8,128,,True,32,128,256,64,3.308207989,3.367278576,498.5380142808185,72.20730878901217,2.39312005,2.388767958,2.434368134,3.175375938,1.237008095,3.539216042,0.2981954222
llama3_8b,model,Llama 3/3.1 8B,524288,4,131072,6144,4096,32,8,128,,True,32,128,256,64,10.97228813,11.00885487,601.2483165310388,76.83939493849219,8.734751701,8.43103981,9.10137558,10.78540802,3.629695892,11.59296036,0.4780927936
llama3_8b,model,Llama 3/3.1 8B,524288,8,65536,6144,4096,32,8,128,,True,32,128,256,64,6.460464001,6.485635281,510.5724422916725,72.89408665184203,4.728927612,4.709296227,4.839216232,6.337696075,2.434592009,6.994976044,0.3506420695
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,1024,4,256,7168,5120,40,8,128,,True,24,128,128,64,0.09939199686,0.1020784006,189.05427512908912,34.75531192783805,0.03532800078,0.03454399854,0.03911999986,0.06118400022,0.01908800006,0.05340800062,-2.136433289
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,1024,8,128,7168,5120,40,8,128,,True,24,128,128,64,0.1293439865,0.1325184107,72.63763251954508,24.146464203807415,0.03265599906,0.0312319994,0.04315200076,0.04326400161,0.01764800027,0.05384000018,-3.792632196
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,4096,4,1024,7168,5120,40,8,128,,True,24,128,128,64,0.1970240027,0.2004975975,381.48614711906873,51.518594998070256,0.1119680032,0.101503998,0.1364319921,0.1465120018,0.04473600164,0.1771839857,-0.3522650933
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,4096,8,512,7168,5120,40,8,128,,True,24,128,128,64,0.1924320012,0.1975343972,195.29477220860497,35.65311405699813,0.06934399903,0.06860800087,0.07761600614,0.1108160019,0.03443200141,0.1065599993,-2.299038019
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,16384,4,4096,7168,5120,40,8,128,,True,32,128,256,64,0.5078879595,0.5127024055,591.9567595498393,69.02309907978828,0.3775359988,0.3505600095,0.3908640146,0.5004639626,0.1449279934,0.5155359507,0.1882197687
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,16384,8,2048,7168,5120,40,8,128,,True,24,128,256,64,0.4233280122,0.4306176007,355.10018479235424,55.0230521456619,0.2329279929,0.2332479954,0.2713440061,0.3348639905,0.09883199632,0.3655039966,-0.5372060721
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,131072,4,32768,7168,5120,40,8,128,,True,32,128,256,64,3.913951874,3.975592136,614.5148850034124,79.16091221207489,3.125167847,3.098320007,3.201424122,3.747792006,1.082607985,4.01945591,0.3623821865
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,131072,8,16384,7168,5120,40,8,128,,True,32,128,256,64,2.415040016,2.442324877,497.95897165788415,72.95746784015193,1.772144079,1.761952043,1.796591997,2.290527821,0.6813440323,2.437952042,0.09372762479
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,262144,4,65536,7168,5120,40,8,128,,True,32,128,256,64,7.856944084,7.981873512,612.2435542485147,78.84470218663198,6.226415634,6.194784164,6.751055717,7.702159882,2.12398386,7.832464218,0.5965532024
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,262144,8,32768,7168,5120,40,8,128,,True,32,128,256,64,4.677951813,4.716308594,514.15272792593,74.14527230402662,3.46848011,3.46984005,3.513952017,4.579535961,1.378543973,4.820688248,0.1516445964
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,524288,4,131072,7168,5120,40,8,128,,True,32,128,256,64,15.59313583,19.98675919,616.9847327649425,77.56561420269499,12.45580864,12.09491158,13.37630463,15.61278343,4.230783939,15.98435211,0.3676974205
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,524288,8,65536,7168,5120,40,8,128,,True,32,128,256,64,9.289823532,9.338647842,517.8099836826912,73.11225873779063,6.91046381,6.791999817,6.99459219,9.195471764,2.769135952,9.453184128,0.2231034969
llama31_405b,model,Llama 3.1 405B,1024,4,256,18432,16384,128,8,128,,True,24,128,128,64,0.3930079937,0.397595197,393.42411639094354,51.12160615576813,0.2083999962,0.2009119987,0.3788160086,0.3410239816,0.03376000002,0.4073759913,0.5752253233
llama31_405b,model,Llama 3.1 405B,1024,8,128,18432,16384,128,8,128,,True,24,128,128,64,0.3203839958,0.3256047964,241.30235074619793,50.91390448286556,0.1646720022,0.1631200016,0.2506400049,0.2327519953,0.02598400041,0.2716320157,-1.659468638
