models,ep,h,f,experts,topk,target_rows,copy_method,status,fused_pflops,fused_ms,reference_backend,reference_pflops,reference_ms,strong_retention_pct,matched_gemm_pflops,matched_gemm_ms,transport_ms,ideal_overlap_ms,overlap_attainment_pct,ideal_strong_retention_pct,v25_1_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,run,case_index
mimo_v25_pro,4,6144,2048,384,8,512,tma,valid,1.001511300041041,2.4701679975,deepgemm_m256,1.3144449745199551,1.8820880375,76.19271399373719,1.0965212644299933,2.2561360575,0.7875280085,2.2561360575,91.3353286004589,83.42085714394022,-0.602385951686657,256,64,0,2,40,108,20260921-091730-70b6a7,28
mimo_v25_pro,4,6144,2048,384,8,1024,tma,valid,1.0659654608042906,4.6416159875,cutlass_stock,1.3147635470145065,3.763264,81.07659078507515,1.1626284187502542,4.255703925,1.6005839975,4.255703925,91.6858252914659,88.42870806619848,-1.638911538672394,256,64,0,2,40,108,20260921-091730-70b6a7,29
mimo_v25_pro,4,6144,2048,384,8,2048,tma,valid,0.8909481687093945,11.106824165,cutlass_stock,1.3518851882936203,7.31985581,65.90412976075055,1.1521757909048063,8.588624,3.1549440025,8.588624,77.32745087533308,85.22734037489592,-18.395756132869323,256,64,0,2,40,108,20260921-091730-70b6a7,30
mimo_v25_pro,4,6144,2048,384,8,4096,tma,valid,1.0508690172986817,18.83318375,cutlass_stock,1.3024220259293025,15.1956961,80.6857528802054,1.1155245944449894,17.741616275,6.80282402,17.741616275,94.20402046998558,85.65000992278536,-1.972177035653877,256,64,0,2,40,108,20260921-091730-70b6a7,31
mimo_v25_pro,4,6144,2048,384,8,8192,tma,insufficient_memory,,,,,,,,,,,,,,,,,,,,20260921-091730-70b6a7,32
mimo_v25_pro,8,6144,2048,384,8,1,cp.async,valid,0.005287215484766735,0.45693600175,cutlass_stock,0.0064109944126213335,0.37683999525,82.47106680295629,0.005956642913244058,0.4055840075,0.056432001300000006,0.4055840075,88.76166595467875,92.91293253223255,8.265491470436537,256,64,1,8,40,108,20260921-092807-f797f6,18
mimo_v25_pro,8,6144,2048,384,8,8,cp.async,valid,0.04175312223568098,0.4628959895,cutlass_stock,0.05072476452881106,0.381024003,82.3130922805284,0.04742303471043661,0.407552004,0.07597599737499999,0.407552004,88.04396954059158,93.49089177831647,6.218245005987466,256,64,1,8,40,108,20260921-092807-f797f6,19
mimo_v25_pro,8,6144,2048,384,8,16,cp.async,valid,0.08312124941992624,0.465039998,cutlass_stock,0.10144526809228199,0.38104000699999996,81.93703953181247,0.09436262501508962,0.4096399995,0.088752001525,0.4096399995,88.087046546908,93.01826175790725,9.454668993870063,256,64,1,8,40,108,20260921-092807-f797f6,20
mimo_v25_pro,8,6144,2048,384,8,32,cp.async,valid,0.1649344882584578,0.46872799099999995,deepgemm_m128,0.20130142932133482,0.384048,81.93408701295162,0.18780830511520502,0.41164000325000005,0.09219200165,0.41164000325000005,87.82065742901197,93.29705494311672,12.780118778952998,256,64,1,8,40,108,20260921-092807-f797f6,21
mimo_v25_pro,8,6144,2048,384,8,64,cp.async,valid,0.31980397421668894,0.48347999125,deepgemm_m128,0.40360333878196775,0.38309599499999997,79.23719738836243,0.37090239167291067,0.41687200225,0.144832,0.41687200225,86.22321705024643,91.89775109201399,21.19136683094329,256,64,1,8,40,108,20260921-092807-f797f6,22
