id,m,n,k,operand_layout,p50_ms,p95_ms,pflops,algorithm,tile,split_k,workspace_bytes,sms,half_drift,run_id,source_id,library_sha256
"representative_medium.oproj.dgrad.s524288.cp8",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s262144.cp4",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s524288.cp8",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s524288.cp4",131072,5120,5120,"nn",4.672287940979004,4.689201760292053,1.4707885644907606,66,23,1,0,148,0.002602541736498798,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s524288.cp4",131072,5120,5120,"nn",4.672287940979004,4.689201760292053,1.4707885644907606,66,23,1,0,148,0.002602541736498798,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s524288.cp4",131072,5120,5120,"nn",4.672287940979004,4.689201760292053,1.4707885644907606,66,23,1,0,148,0.002602541736498798,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_large.qkv.dgrad.s16384.cp4",4096,16384,7168,"nn",0.688543975353241,0.7078160136938095,1.397256687650824,66,29,1,0,148,0.020867218595530708,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_large.oproj.dgrad.s16384.cp4",4096,16384,7168,"nn",0.688543975353241,0.7078160136938095,1.397256687650824,66,29,1,0,148,0.020867218595530708,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"deepseek_v3.mla_o.dgrad.s16384.cp4",4096,16384,7168,"nn",0.688543975353241,0.7078160136938095,1.397256687650824,66,29,1,0,148,0.020867218595530708,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_large.qkv.dgrad.s16384.cp8",2048,16384,7168,"nn",0.3347039967775345,0.34071840494871136,1.437199261984694,66,23,1,0,148,0.013480603901635703,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_large.oproj.dgrad.s16384.cp8",2048,16384,7168,"nn",0.3347039967775345,0.34071840494871136,1.437199261984694,66,23,1,0,148,0.013480603901635703,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
